start_cluster,end_cluster,two_hour_segment,trip_count,trip_times,variance,std,trip_ids
3043.0,3077.0,18:00 - 20:00,3,"[837.0, 99.0, 981.0]",41.46,6.439,"['4902b6288890317bae72838bfb2108b363071e72b6766e22ef0fdc1397b2d0d3_1', '3f6f08c5b27b7d506338ec26f584c836d69f3d8ac8ee16588f9ebce9274e8536_1', 'cfa300da113fc3d5a63f8d42205c001bc14b77102184208e3f3c6e8f3ab2823c_1']"
3043.0,3179.0,12:00 - 14:00,2,"[500.0, 115.0]",10.293,3.208,"['e3c45ab0b40b788fb33f75f687f9129d5523b12acaf4cbe5f9988656d2fcdd74_1', '534a3c5116b92c7801a3edc4302761704355e4cd8219defe192852546a54874c_1']"
3043.0,3179.0,18:00 - 20:00,4,"[123.0, 235.0, 235.0, 707.0]",14.092,3.754,"['6e1407042a2298c0d25a9d088c6fcf9c1b3fa2cc7297e887a87813547665c3c7_1', '552c458422659376d869017729da328466c1d72f38926a1e9ca3932eea4c3dd9_1', '552c458422659376d869017729da328466c1d72f38926a1e9ca3932eea4c3dd9_1', '7553640eee071d92ff92c1161448358d99539634b1d8c1c88f70e79f25579276_1']"
3043.0,3179.0,20:00 - 22:00,6,"[34.0, 459.0, 667.0, 160.0, 289.0, 40.0]",14.548,3.814,"['187e2ee28f600d3a4079f30a1f304f3d1add548a1786b250a805f86b4c158692_1', '46ecfeb440f65af577897d8a7bb0730be7db04115c26d579d3c64100d50e7059_1', 'b4c24bd2f8bc32561b407432c00849bc0db065b41440292e2b7e98642eee5843_1', 'dfc3f91fc7c67b1718ca8740edf44b4d19ea0c28fc0e9ed4ef31a79e7f7e9ae2_1', '37742290a6ae8619b0c2e66568a8c27141bf5972c38b2215e4c183878868571f_1', 'b4e14f676b0c2b68d11e5c72f90fd38a2b1f6d005accf6427d519614fc328811_1']"
3045.0,351.0,18:00 - 20:00,2,"[515.0, 328.0]",2.428,1.558,"['2150c6d806c9c385bdd3ab19524c477a54fc863df2c1e1bec0289691a5489058_3', '4da45064220a622a1f29b76fac7d3a75fd88a530e2abc92beff3d0497700be79_3']"
3045.0,772.0,16:00 - 18:00,2,"[550.0, 395.0]",1.668,1.292,"['70b502f45c46f1efc9d5e0e91e97bf5f501f2ce07a80da8b7526829a4f34d397_3', '7513231fd6add78d09475c71fd7b8f4636ed005459297307d5963183cebae5f4_3']"
3045.0,1392.0,10:00 - 12:00,3,"[430.0, 300.0, 405.0]",0.881,0.939,"['0324e14490c69ffc7aec22e0378bb3962028e28fe1cf4ebe552491872ec90a6e_3', 'db78095fc75fcdaec030a1412fcc14327630510464cc7369c3615595672ab9e9_3', '55eca425c9822e8928a199bb23ad624cfb214b5140a584096cebb601b09653f0_3']"
3045.0,2364.0,14:00 - 16:00,2,"[595.0, 835.0]",4.0,2.0,"['3747b045f9e8d77ea6c07bf6c3c3fe879faa8f82c4c6c6a849655bd4d0df5772_3', '821f23970685f8d5cf697ce3a93f09c0c6b4acb6cca65bb8ed86c8282472e783_3']"
3045.0,3077.0,12:00 - 14:00,2,"[380.0, 90.0]",5.84,2.417,"['d0f385a3ec4f99149101b2a831d21c3fd663e311cdcd30a8a62465fbcf4de7df_3', '13647cfef50767c6e4ce72b056742169c9e1753e18588b540bfade4ccd79665c_3']"
3045.0,3191.0,20:00 - 22:00,2,"[165.0, 210.0]",0.141,0.375,"['187e2ee28f600d3a4079f30a1f304f3d1add548a1786b250a805f86b4c158692_3', 'e4069bae8f4e4f1381fc26888fcadcc4a55422be6b59d1db984d95140c7c8fb3_3']"
3046.0,1977.0,08:00 - 10:00,2,"[110.0, 234.0]",1.068,1.033,"['46426f540ccbd937baa6b1114f6ff15df25f7c49af29011b0be94a404ea37cbc_1', 'c16b7d1f496254ba3cef8f15c7050ad1ad4504e73830a4727139c1f2d784a142_1']"
3046.0,3057.0,06:00 - 08:00,4,"[65.0, 40.0, 55.0, 60.0]",0.024,0.156,"['2c641eb8849de8c68501ed11dfcb464b9a9f56f54f630ac3e038b7ba3302409d_1', '333230cf658a82d8af438a396added1129b367e827b945494eb9c35b83ae3e90_1', 'cdf386d2ba634507eab3c95ba8d3ad495a71f13af437d3a12476a7af020ee9b6_1', '51bdfe7ff9e0f719d2a6f7adcfb8fb7f2ee5f7135ab46f4bbd0d9a0109f70a69_1']"
3048.0,660.0,08:00 - 10:00,5,"[155.0, 171.0, 235.0, 308.0, 220.0]",0.809,0.9,"['a63867e1b7478a3dea2c3c70378933075ea2df143ccd08f1731d407322b78db0_1', 'd9a1a3f84ad0266d66aba8b6d24a601758026e12a6cc1237a8e78250d9edd988_1', 'e7f5a425b9b70694384c210c50c56bf7e7d96f9d8ea7d2ee12168dfbeb276910_1', 'd2f5c283634b6e64fbad97ef2d0c95bd4023a00b8f9f9c425d6fa34d02ad4122_1', 'dff04fe98241e7c5238c15fff6aaa62242f8024d517aff0f8a968582c34921e4_1']"
3048.0,1977.0,06:00 - 08:00,6,"[148.0, 106.0, 725.0, 330.0, 356.0, 170.0]",12.134,3.483,"['c6f19c6d1aad5953dc4cd74bf69ef3a4b1e0fa4d300a0d5178842604b312b18e_1', '3f07e0bf63a887f143e8f5d785b2a62a8368afcc2d6ebe1080cab087b38586ff_1', '81227ee0be28f5b6409593fde7d5642502f34e12c4b205b163a54502ecabe172_1', '5d7169733b07271539ff0df3c975b57a76ccbb651f4ced6b2980f8431e8b9678_1', '71a5fbfbec23b10555b46837ad81a39e1f591c24547984cf450dcd3980e0c685_1', '96fd71eca00fdaaf1c92466d08ddd58733a4a0c1785c4f4c02528a8647542ee7_1']"
3048.0,3057.0,06:00 - 08:00,5,"[239.0, 254.0, 285.0, 241.0, 54.0]",1.866,1.366,"['da2b796454b57eea4ecebb00f771419f98d1436d17dbd3c5811fc8da5b606ad8_1', '2b13815da5e621e2fd3e2e56f8929716b6b22eb1a3d1baa15c50463b2b5206ee_1', '1f110085ca4a3880b8c23999180c79778fe10db8d6f278d50bf10cc1d9ec32a7_1', 'bd31ececafedf551c7f16dd73bacfe59d0cc7720ec5a41d1f30a988003eb8e42_1', 'c83dfa908c30f224bbf745d6751e5563b20aff2b73a509f07547e175000a0c9e_1']"
3048.0,3057.0,08:00 - 10:00,2,"[110.0, 144.0]",0.08,0.283,"['3718d294cf12b7e709ea8b937d4e3f4e3e8532a16e90df4b7372d6170b798692_1', 'ed0c379a155f2639b92a69cb57523f37b450224f78c7d0d38bfd74f1a8a5b015_1']"
3057.0,849.0,20:00 - 22:00,2,"[148.0, 74.0]",0.38,0.617,"['f4ee779988ebbdefa8c73ef8f192422ef431b2bfde942c662df17fd46359d009_1', 'fd82284bbf0528fdf0fb78e57385db8e2ac2f778dd0acbe5bc367616404e9490_1']"
3057.0,1977.0,06:00 - 08:00,2,"[839.0, 165.0]",31.547,5.617,"['17b8e404fb4bbd7a5010c24e31ffce63717df7e9bf5b86069a91d304c910f153_1', 'bd142f597f02dd7c6934903129988a70deac2763b1f5c6b21d2e117b31bd703e_1']"
3057.0,3064.0,06:00 - 08:00,3,"[365.0, 124.0, 141.0]",3.35,1.83,"['a923600d0e9b9d5c5ca3b3ea327c789a220216debf20fa51044b17ef1fb63360_3', '055894af99a67f55be7a8911792447a11c9784d25a4e04b89ef293376c0dc7f8_1', 'c5678d3fd97306fc8bad91fa578a3875accd9a0d9113f8e0b49cd329b5bca63c_1']"
3057.0,3064.0,08:00 - 10:00,2,"[213.0, 125.0]",0.538,0.733,"['37342120b761ba1862650c6565bd531e63c58ce5c528fbccc160d479319d404f_3', '6f4764ecc6fcfd19ae196a46e6c71c54a54d94a4217cab29e8548c6b300d03a2_1']"
3058.0,3077.0,18:00 - 20:00,2,"[145.0, 90.0]",0.21,0.458,"['63e360270e764a06843771c684d4122437050bc3017ad5452b8efb4207e6c833_1', '72e4059df9abebd5b34e42ea7353054f3248ba0d4aecd65b25a868bcd382a83a_1']"
