start_cluster,end_cluster,two_hour_segment,trip_count,trip_times,variance,std,trip_ids
128,120,16:00 - 18:00,2,"[797.0, 697.0]",0.694,0.833,"['2c21123ed5c112eeed70c5b7d52a9050951c5174fff5bb157edabf1b43ab6104_3', '83cfec310ed5ab6284e6335887cbde1c65fed630fdcb5357e840f59ed89d01fe_3']"
128,144,12:00 - 14:00,2,"[899.0, 859.0]",0.111,0.333,"['4b2b8e56fcf515d9b9e158aeca6c0ebb1937f6b6721d1faa3bfbface6c3ec707_3', '2722eb84b6ae62f5c8f4b6feac6f475903209250dd63943e3b0fbf615985520f_3']"
128,146,12:00 - 14:00,2,"[1047.0, 1050.0]",0.001,0.025,"['260080f48f80c68b2efc3a2664f9ff0eaa59cc036915c99035bbc5b2327702c5_3', '84124d531bd4eb5102c092d4ef64ad7b5d859b07625277941d0a849cad3974e4_3']"
128,146,18:00 - 20:00,2,"[608.0, 870.0]",4.767,2.183,"['a7c08cb832996269e96397b9449edf2f7f4522eca5c5b82caa492435352b23f7_3', '15a255348bb0e9467b5c0369f17d48d03eb1f3f5ed311c497ba9032c8c1e6cb1_3']"
128,149,18:00 - 20:00,2,"[600.0, 545.0]",0.21,0.458,"['e804c5aa8d9092d943b438fbad0324a5b3750d5102c8a694492401d39f826e33_3', '0fd9ac9ff38b3db4a7f742c054f28482a6974c2de2016caba46bdbb06c7fc811_3']"
128,149,22:00 - 24:00,2,"[294.0, 450.0]",1.69,1.3,"['7f4306a0e664a009241ba846a41192b553e07eb5c5ddefa67b63ad8f2c2d571a_3', 'eb91a12d6b34597a90b0dcf9b6520ad8b4a11e1d9860d67ba97b1755f2f62b5d_1']"
128,150,12:00 - 14:00,2,"[640.0, 925.0]",5.641,2.375,"['445b60d3e6bf0ac8d7da09c0506d78b21b0db3653c90167bcd41d61526b968b5_3', 'f3e0f765090c1554cf33be8625e4830461b2c0e7a2066864f9bcda10a6737519_3']"
128,150,16:00 - 18:00,2,"[765.0, 1028.0]",4.803,2.192,"['8a208905d5cffdf38fd5df415fd6a3873ac9d26e1f112f658d697719f4b57b4f_3', '2c6182837ed5e8f74f6f84cec07dc2e43509b7c8329632c7fa001df203621252_3']"
128,159,20:00 - 22:00,2,"[1221.0, 775.0]",13.814,3.717,"['dfad994aa8bdc939c0ef1e558e57e39a8a7f6b8349f7dd7a725722914dbd5621_3', '02b24cc4153cdf8175c044092fd4607b5420884595e41f9f691ca51bf734bd85_3']"
128,172,14:00 - 16:00,2,"[320.0, 408.0]",0.538,0.733,"['865aeeae9629bfd0e95babf3290157448cc063bbec6560d3688794596bc43040_3', '1c786530dc5b020c315d284b9f19a5dd0e00ea3c7ea5fed5e87067d0564d9e0a_3']"
128,172,18:00 - 20:00,2,"[155.0, 831.0]",31.734,5.633,"['231e6239a512ccec0e109a0d2a19a2fd7f0662c3d962211a4e2fd6eb19b16f2b_3', 'ece14edb5cdb485e3540bbb5f08685bcb59606d4271ce2a81e811bdfc5d71e12_1']"
128,172,20:00 - 22:00,2,"[180.0, 180.0]",0.0,0.0,"['6976a7f1902fb423bd00114e82b78b1312d4104132bcab7cdfc63484771123ba_3', '8cfab4e3d49c016b5be1116a84e6340cae45f17f7bf56d4f1ad7cf804c6eb0ad_3']"
128,186,14:00 - 16:00,2,"[314.0, 265.0]",0.167,0.408,"['ed43484c160ff8e73fe7c82b0644da11faf8e0e2a58174194d478dfbb0a350c6_3', '2049b458fe69cb7211a7671a750508ae83c4ad8e8b6518e0e76cc3feba94f6c0_3']"
128,186,20:00 - 22:00,2,"[506.0, 464.0]",0.122,0.35,"['4acaacd635bb57f8c62c8977fe57b3ee4baab950d100dbe4275cceea66253cba_3', 'bd03e2dd049645cec3f4b8906c63c8d73063ed2d4c5620dc8d277d9327ec5d03_3']"
