trip_id,stationary_df_lat,stationary_df_lng,pooling_df_lat,pooling_df_lng,merchant_id
a39b41d3134f952c0c9f145bd7da9e20c881108171555c908121cd80953d5bab,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
a95d2f0bf5d7bf932d34b14f5e7fe67854a44c05dd12e320ab2ea098b36f283e,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
aab603cbfe3baa0be28d2fa185f58ef81e2ac76979a38c07658895970ff6c05a,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
aecfdf2c675002625cfad3df3e49b5a88ce1a6cf8f80cf709a59c631f0c5bfca,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
b0c595b7ab35265b89fe4ae4bf57fa134f69c95c1fc6bd3a0d2810f9dca6f384,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
b30fe1981e0392f8b63072bb55a593a00040260fc2e20de0026c5b1f37c20230,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
b770ef50a8188abf0c08f682761c72615c34aeca47a6786d394f5ddc25503a08,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
c19637b67fda03209d324cdb9e6edb0dc4d4246d4057a45b3e3f0b70467268e9,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
c5d3f14c95082aaaa740ebb8762a92f232be33228ef31e2b1f0cbf08df638795,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
ca3fac66653d20c57cdaa405dfce2e36f736b19bdd3756937a6cb717c7972f87,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
cf4233124fdb009b311ee2dcfb1da19572338cb4173051158ed44ed1deac188b,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
cfe5cf495db550ceffc93a4bf47082679ce8f3a6db56568778073697b85a6e08,32.003,35.94,32.003,35.939,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
d856328575f81729841d0f8885a2358d3457a08b9e48872e4a05d499e45f5059,32.003,35.939,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
d90fa24bb031df9233cf5597b23874fb9e0f177851fe65d2e0065a6224edb785,31.999,35.936,32.003,35.939,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
de00cf06d7e72bf8d75c1ef4093b4cf0be71ce0939b0ff3ed495f0eea76c73a2,31.998,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
de108a0b4db51425ce830cf0dd8760d5c65de4b41ad5c2c2e2f5ce7d590247d4,32.003,35.94,32.004,35.939,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
de52a8030af6deaa427882452254721460404570eb70c4a82061127ccf89de6f,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
df896a6a127d8ec806d70dee2ff55976fed87aeaa0f5753f0beb47bec5fee46e,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
e1887180f8fa5391169a165a6bbf65ca8dc99b1ad6910b14fd8702238494b3ee,32.003,35.939,32.003,35.939,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
e75b251753fd7de85853c4ef05dc663001294118dd9d028949beca931e8b141c,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
