merchant_id,lat_changes,lng_changes,lat_nonunique,lng_nonunique,group_size
87ff67bdb029b83bc178e5333c338d321be1f711ddbfde166fbbd11d0060a9c6,1,2,{31.954: 1},"{35.856: 4, 35.855: 3}",23
88db0a38e53be168fa77318df504445f8daeb432ec4fe287159e3f2a97654543,1,1,{31.997: 1},{35.85: 1},2
8981da1f229ae878ab77e313c2cd2b2a2260cae2a73c1da6f528eca2ac19c0b0,0,3,{},"{35.854: 2, 35.855: 1, 35.853: 1}",5
89b40acf5cbf642a5d03785425cfcf4355367de745039d2be0382264079f4118,2,0,"{31.967: 1, 31.968: 1}",{},3
8a46f750a05ba2d767499a7f34028f9a8a4dadc0cff2ea183e7602559105b56c,2,0,"{31.914: 7, 31.915: 6}",{},35
8a657e41dc0bcc63c06dfe476adfc579f2827379646cfb815eee4b4a0d73cdd8,2,0,"{32.022: 1, 32.021: 1}",{},13
8b0abf1c7e493c40d0e1ecb2899ae197d72429764cdd52f305503b9382972120,1,0,{31.967: 1},{},3
8bcc892db598f39e533f98461a3392bc0a05a3331a9ed8cc4cf8f5e5e2ad1f5f,0,1,{},{35.935: 1},2
8d28b6df2fc07c031aa418ba534cad6232efb41462459b442e16c5eee373c75f,1,0,{32.008: 1},{},4
8d46d3332477f97d5d306452524b78e93c3f8f1f7726542003ab962085cd62f3,2,0,"{32.03: 2, 32.029: 2}",{},40
8da63e27d634a5fa8b5d80a3c5b1d1856082678b8ba8f2784dc811ff4761e03b,2,0,"{32.03: 1, 32.029: 1}",{},3
8dc02d9e375140df5df3e0f06b30e97c93fd1e1cb70613dc4e00ba8f32f176e2,2,2,"{31.941: 3, 31.942: 3}","{35.884: 2, 35.883: 2}",10
8ee5bb6960b5fad6c61c523c3b7a2ae779bb5e1d2e1da2eaa0878bab10e6c535,2,0,"{31.917: 1, 31.916: 1}",{},18
8f1c898db7a25bf03e46bf64afab20eaeb426519094be5e879a97de1f1630b3f,3,3,"{31.975: 1, 31.974: 2, 31.986: 1}","{35.853: 2, 35.854: 3, 35.847: 1}",78
904dfbeb959ed87bbe0ac3535c864bf650c3abe44b8c6598042ee6d064e2b759,0,2,{},"{35.837: 1, 35.836: 1}",10
9086ebfa88d098b5ffea14ade0de8c51c25c4713083370763d7bf790251679d6,1,1,{31.919: 1},{35.907: 1},4
9156b6d92d523d329301b9cd192930f79644cbdb362832534edae1404b953cf6,0,1,{},{35.982: 1},2
92579f173a3638fcd14e213e5358abfa6983420825996a2fbacca8541184f46f,2,2,"{31.97: 1, 31.969: 1}","{35.92: 2, 35.919: 1}",7
