start_cluster,end_cluster,two_hour_segment,trip_count,trip_times,variance,std,trip_ids
11,181,18:00 - 20:00,2,"[230.0, 197.0]",0.076,0.275,"['356803e2426a71f28780636919e29b98e07e444274fea1608837c16b1ae89a66_1', 'b500b04ccc197088c5e1ea84eddcd3ff0b64366ec358db93dced8a11fcbc28db_1']"
13,79,14:00 - 16:00,2,"[370.0, 197.0]",2.078,1.442,"['45182c4e0d9fcdb060c0897227ddd73a4dfb3098e7c470614428594779a5c42c_1', '4a2e9eded0e8831b5f2ae57ea4e97b91f3834596a28047feb531cf3de6563887_1']"
13,79,16:00 - 18:00,2,"[209.0, 114.0]",0.627,0.792,"['ad70cf75680009cb0a6443b28c9aae09230c0a9ffafcbeabc3a112f4bc2b47bb_1', 'd931fbf5c5fa5437b4333c587cf7f3c2ac64ad7e0851c42323f6a1fedf89a268_1']"
13,242,08:00 - 10:00,2,"[74.0, 390.0]",6.934,2.633,"['c5a0d19c24d61a9d23ab76104e9891c7bd859ab591a1c5fe244d1bcfcd054109_1', 'f444261c3f9dcca52e3f209fe4a2222e7510294e8f671ca0e72b126c9f764ac6_1']"
13,242,12:00 - 14:00,2,"[420.0, 567.0]",1.501,1.225,"['82886ba949bd1c3ab0fe9ac89e5d1da0c0f51e4a1f050cea791829be939b17ef_1', 'b38a93525c14152ee5282bc9e30d0995e91bb0ac3c2cdedb864eef5031798ffe_1']"
15,102,22:00 - 24:00,2,"[210.0, 176.0]",0.08,0.283,"['22f54094e7f6dc9e4b536d918c8b227b52879fd9d42a295f6192bba6f82b0e5e_1', '67c0e65bb7b8aa8d1c627f8b8aa1396221b29a9ee9d7f9bac1f93866e74e2921_1']"
16,51,20:00 - 22:00,3,"[235.0, 175.0, 285.0]",0.562,0.749,"['246928a7345b04ca3e0c108733e9adfcb91a500ce9af356fcc16339e078e4983_1', 'f2645f8de3ccbc008aafb02b46ded48ebc6fc554b285cfc47fbe1ebdf7e1cc7c_3', 'fb28780740ec3c710e56c8a61eaa030278c5c87513b83c3ee2a5ccbfc539eead_1']"
16,57,14:00 - 16:00,2,"[848.0, 1443.0]",24.585,4.958,"['41094670125f3dc8f602ddfa4554ba40b1dad60459b4c9696f2993e48bb44394_3', '618b27776376eb51e2ea4c738e304fba200220c657d5c4d04538fbe683ecd2fd_1']"
16,97,14:00 - 16:00,2,"[212.0, 564.0]",8.604,2.933,"['5d2ce647eec9e56fb3780b5d18331d49a313fa3e1b3895ca267929d27d90add1_1', 'a43be03e281f804f1dca9963efa5f1aa4d32f2056e7721362ae71d638a0322d0_1']"
16,97,16:00 - 18:00,2,"[99.0, 155.0]",0.218,0.467,"['24414a70b06ce665bce63a45617e767e73f0f49580aefeb50c845339595f741a_1', 'dcfc1db7eb0a84d58489bfde6f0b82023520e5fce91552a68aac67961df42385_1']"
16,97,18:00 - 20:00,2,"[80.0, 165.0]",0.502,0.708,"['b6beeb326578a10f9155495a65d813444f88520330ade4ee435d5cefc8dce54a_1', 'd9b520945f87934d3c5575861a8c08783b438331e5874ce454919f24ae7cf6b8_1']"
16,97,20:00 - 22:00,2,"[401.0, 230.0]",2.031,1.425,"['786ee5ad81bcd5441bdf43477a7964a09aba864167b49d797fc45e3d6936cb03_1', 'cf13ea842a5cfdd211b69475c05a754b0c796dead6786e982b18b51975311e98_1']"
16,233,08:00 - 10:00,2,"[136.0, 496.0]",9.0,3.0,"['2b54b32ee3bfa73f8376202081bb61cb3fa52f6e71a3527cd23f7eb60d3b1bb1_3', '7135b399e188aa9d2e4444a4c704a799e970e9603e6759aa1f6ff8cb65a76dce_3']"
16,254,06:00 - 08:00,2,"[934.0, 181.0]",39.376,6.275,"['51d4dca3a6b77cc62ba5750195ad56e53ec075f0f8f8c4446db5917cb7ea35e1_3', 'e12570a15c72c96fd29d0e0b9075f54258eba7daa3586ba1505de194d9dc10d0_1']"
16,254,10:00 - 12:00,4,"[245.0, 1123.0, 265.0, 371.0]",36.459,6.038,"['09c81e35ede5e4772f873168c47c0f63cea60bd14e83780234cd00e87278cbe0_3', '17e9d800574bb4ccf732c886256686083b1f50e0d5f3cebaf5056846e10aa889_3', '90765eedf5d265dd4a86668e98f6beaf4124b51070a6b4fb8715ae4e3cff1b7d_1', 'f1fc51103af1d8e057e721e6d6270086ca0dfb601cf3a3bd4306dc6c1a03d245_3']"
16,254,20:00 - 22:00,2,"[210.0, 215.0]",0.002,0.042,"['6317432a38221bd8a775b77ceda1012225209008c4add448f5011c9f49c0b8fc_1', '933e521f36f789a441b245798e10b4b119cee7c7e42978696adb4d6889cbe12b_1']"
16,254,22:00 - 24:00,2,"[802.0, 307.0]",17.016,4.125,"['1fd773377d7b444508c2f0b424a720c33f61588b9a59d397f669c70b93f296a4_1', 'dc3299a5a13a1c1fa932bb8eb0d0829ffa719d325721695dc3eab5afa8ccf476_1']"
