start_cluster,end_cluster,two_hour_segment,trip_count,trip_times,variance,std,trip_ids
-1.0,307.0,16:00 - 18:00,3,"[400.0, 460.0, 270.0]",1.747,1.322,"['8ce3625dbbb2058d9f1177fff606d4e5d133816476cc1c2d1c0de29cf82dafab_1', 'df896a6a127d8ec806d70dee2ff55976fed87aeaa0f5753f0beb47bec5fee46e_3', '73449872493d8ac19ac189eb4e5ceb3f6d775b55e5e44b3439cc6ec5c82b25b2_1']"
-1.0,307.0,18:00 - 20:00,2,"[90.0, 294.0]",2.89,1.7,"['6777f10460b57fb16be3c81b8225bfb3f63f6ffe23ca21f99702a410b3244136_1', 'ccebb2340843e5205d19a769f99f42bd49770634b78378f2881a9764a214fa4e_1']"
-1.0,308.0,12:00 - 14:00,2,"[99.0, 168.0]",0.331,0.575,"['26e5ffc8bbec4ef0492906036e8c1c20b8aaf9cfb31228cff15ecf77ba3ef477_1', 'af058b23df56b0033275cffc7f214b0982d721e4cb4f8b5eb25985a6e4819ad9_3']"
-1.0,308.0,14:00 - 16:00,5,"[488.0, 279.0, 580.0, 110.0, 10.0]",13.009,3.607,"['8d92fa532dade3bc72f00fcf0459bb297e40768cd3670fdbfc33c5446a79dbbb_1', 'b73d70299048382f83de0bd065d5bdabf47c251dd97e898598b3412e92ea693b_1', '2287601a8be66faeb8e58d5e16dfcfb33571d0b0e1f93fec4ac76c296594529b_1', '834748cb409b90de2d26a0be4bfaadf8976b9cfcbd49d45e0dea8ac3e2f126a7_3', 'ccd64aa1694a588ddf4982169fa85fb113c24c936fb910754cd8cd691ff8c80f_3']"
-1.0,308.0,16:00 - 18:00,5,"[70.0, 484.0, 30.0, 495.0, 226.0]",10.864,3.296,"['29188fb06cef6416f4fc7edc5aa2962ac4cf9b0d7dd5138b8df1f50e94b0d2d5_3', '8c8edcb07fa9d6c469a3135a1aa50df024687c63845f95dfbc2c21ed6cce6330_3', 'c157b1d5da03fc1fd94a26e3bbebca418323084bf7dda2898bda8c7dd4efb2c7_3', '884a7b27032a4cab3d1749ced4bfe5887f9206286a0d4a6f3e0dea91022aea1b_3', '2cf297731c692e632277f1323e9969b19dd18461e8aa6578b3f86059aee1d004_1']"
-1.0,308.0,20:00 - 22:00,2,"[341.0, 110.0]",3.706,1.925,"['78349eb7f1e6f05ba4eca5cd4232141e177097c8ee4e9397d459fdbddb156d00_3', 'e1887180f8fa5391169a165a6bbf65ca8dc99b1ad6910b14fd8702238494b3ee_1']"
-1.0,349.0,16:00 - 18:00,2,"[430.0, 720.0]",5.84,2.417,"['20bac61c3cb14fa8441785e343957b28bb1c844acb3f8d60a6f5fc4d2501edec_3', '3beba18df3bc16c7466896558ff5e51fbf343adff9b3aa80af7043a8a3f000a2_1']"
-1.0,349.0,18:00 - 20:00,2,"[377.0, 70.0]",6.545,2.558,"['1ff06c6601483bc27ee271bcbb4182558fdc6fae1e4d478e930aeea85987e4f5_1', '4587b24e73a57acec6aab5d4d590b5f465f8ef1c22f223c7ab7e4201ff73312c_1']"
-1.0,370.0,00:00 - 02:00,2,"[210.0, 115.0]",0.627,0.792,"['ef13c5c91044053495ece4f6bc2ccb399c6431ceb80e4cea509682ebd5db1bd7_1', '549111e0ecffa00922a85b36f4474f3c82d958b5651aecede05c9774d8878f94_1']"
-1.0,370.0,02:00 - 04:00,2,"[185.0, 55.0]",1.174,1.083,"['8bbe827788e12c41f8e27c9f8061dd0ccc7a44de6c02bc66826bd222ece145ae_1', '5087e105c905498df7d99249c493c9292172dc650e06dce2825cf0ff3facb6d9_1']"
